data_entrada,socio,tipo_socio,cargo,empresa,cnpj_empresa,uf_empresa
2025-07-23,LUIS FERNANDO DE ALMEIDA,PF,Administrador,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,67030395000146,SP
2025-08-12,DANIEL BUENO VORCARO,PF,Presidente,BANCO MASTER DE INVESTIMENTO S.A.- EM LIQUIDACAO EXTRAJUDICIAL,09526594000143,SP
2025-08-25,RONALDO VIEIRA BENTO,PF,Diretor,BANCO PLENO SA,61024352000171,SP
2025-09-02,ISABELA BENATTI RISPOLI,PF,Sócio,SAUSALITO PARTICIPACOES LTDA,46740698000182,SP
2025-09-02,MARCELO DIAS PEREZ,PF,Sócio,SAUSALITO PARTICIPACOES LTDA,46740698000182,SP
2025-09-15,LUIS FERNANDO DE ALMEIDA,PF,Administrador,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,02671743000119,SP
2025-09-29,STERN FUNDO DE INVESTIMENTO EM PARTICIPACOES MULTIESTRATEGIA,PJ,Sócio,VIKING PARTICIPACOES LTDA,07875796000175,MG
2025-09-29,ADRIANO GARZON CORREA,PF,Administrador,VIKING PARTICIPACOES LTDA,07875796000175,MG
2025-10-24,FLAVIO DANIEL AGUETONI,PF,Administrador,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,67030395000146,SP
2025-10-31,LUCAS DIAS TREVISAN,PF,Diretor,COMPANHIA BRASILEIRA DE SERVICOS FINANCEIROS,52270350000171,SP
2025-11-10,MARCELO ALVES DE CARVALHO ALMEIDA,PF,Diretor,BANCO PAULISTA S.A.,61820817000109,SP
2025-11-17,FLAVIO DANIEL AGUETONI,PF,Administrador,MAM ASSET MANAGEMENT GESTORA DE RECURSOS LTDA,21180163000173,SP
2025-11-25,JOAO CARLOS FALBO MANSUR,PF,Administrador,CBSF TRUST ADMINISTRADORA DE RECURSOS LTDA,23863529000134,SP
2025-12-08,LUCAS MATTIONI BRENDLER,PF,Sócio,PRIVATTO ADMINISTRACAO DE PATRIMONIO LTDA.,19207159000100,RS
2025-12-08,LUIZ HENRIQUE MIELKE WICKERT,PF,Sócio-Administrador,PRIVATTO ADMINISTRACAO DE PATRIMONIO LTDA.,19207159000100,RS
2025-12-09,MARCELO GUEDES MORAES,PF,Administrador,CONCESSOES E PARTICIPACOES BR LTDA,50969583000131,SP
2025-12-16,GUSTAVO AUGUSTO VASCONCELOS BIAVA,PF,Sócio-Administrador,TERIS PARTICIPACOES LTDA,64079695000121,SP
2025-12-16,MARIA TEREZA ABBOUD JUNQUEIRA BIAVA,PF,Sócio,TERIS PARTICIPACOES LTDA,64079695000121,SP
2025-12-17,FLAVIO DANIEL AGUETONI,PF,Administrador,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,02671743000119,SP
2026-01-15,ANA LUIZA MARRARA GIANCOLI,PF,Sócio,BE HOLDING LTDA,64525602000145,SP
2026-01-15,JOSE ROBERTO GIANCOLI FILHO,PF,Sócio-Administrador,BE HOLDING LTDA,64525602000145,SP
2026-01-20,LUIS FERNANDO DE ALMEIDA,PF,Administrador,MAM ASSET MANAGEMENT GESTORA DE RECURSOS LTDA,21180163000173,SP
2026-01-27,CBSF PARTICIPACOES LTDA,PJ,Sócio,CBSF TRUST ADMINISTRADORA DE RECURSOS LTDA,23863529000134,SP
2026-02-09,TERIS PARTICIPACOES LTDA,PJ,Sócio,ID PARTNERS LTDA,52167766000169,SP
2026-02-11,JACQUELINE FULAS BIFON PAPA,PF,Administrador,ACURA GESTORA DE RECURSOS LTDA.,18167777000100,SP
2026-02-11,SEFERPAR PARTICIPACOES E INVESTIMENTOS S.A.,PJ,Sócio,ACURA GESTORA DE RECURSOS LTDA.,18167777000100,SP
2026-02-24,MARIANA MARCHON BARCELLOS SILVA,PF,Administrador,MENESTYS GESTORA DE RECURSOS LTDA,50543106000100,SP
2026-02-24,SEIGO NAKAMURA,PF,Administrador,MENESTYS GESTORA DE RECURSOS LTDA,50543106000100,SP
2026-03-02,CARLOS ARNALDO BORGES DE SOUZA,PF,Presidente,COMPANHIA BRASILEIRA DE SERVICOS FINANCEIROS,52270350000171,SP
2026-03-02,THIAGO SOUZA GRAMARI,PF,Diretor,COMPANHIA BRASILEIRA DE SERVICOS FINANCEIROS,52270350000171,SP
2026-03-10,RODOLFO TURELLI,PF,Diretor,CBSF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS SA,34829992000186,SP
2026-03-17,BE HOLDING LTDA,PJ,Sócio,ID PARTNERS LTDA,52167766000169,SP
2026-03-23,ANTONIO CARLOS AMANCIO,PF,Administrador,ACURA GESTORA DE RECURSOS LTDA.,18167777000100,SP
2026-04-13,HIGOR FERREIRA DE LIMA,PF,Sócio,SAUSALITO PARTICIPACOES LTDA,46740698000182,SP
2026-04-13,JONATHAN MARTINS BARRETO,PF,Sócio,SAUSALITO PARTICIPACOES LTDA,46740698000182,SP
2026-04-13,TELEMACO GENOVESI JUNIOR,PF,Sócio,SAUSALITO PARTICIPACOES LTDA,46740698000182,SP
2026-04-24,MARCELO ADILSON TAVARONE TORRESI,PF,Presidente,BANCO PAULISTA S.A.,61820817000109,SP
